P1_DEPARTAMENTO,0.0,3.0,4.0,5.0,6.0,8.0,9.0,No,Si
5,0.6811632171862719,14.671207754781243,3.9821849620120515,1.7815037987948652,0.8383547288446425,0.07859575582918522,1.8862981399004455,36.23264343725439,39.84804820539691
8,7.5219549446353575,7.560137457044673,3.2836960672012214,1.4891179839633446,0.7636502481863306,0.572737686139748,0.4200076365024819,16.49484536082474,61.8938526155021
11,1.6930437983069564,21.825542878174456,11.299227088700773,2.465955097534045,4.232609495767391,0.0,0.18402649981597352,46.48509385351491,11.814501288185498
13,14.482284141726867,7.223942208462332,1.6511867905056758,0.7567939456484348,0.6879944960440316,1.1695906432748537,1.2727898176814585,12.143102855177158,60.61231510147918
15,0.4815409309791332,14.414125200642056,3.0176565008025684,1.2520064205457464,0.0,0.06420545746388442,0.0,53.547351524879616,27.223113964686995
17,0.0,21.208434712084347,4.906731549067316,1.6220600162206,1.7437145174371453,0.0,0.0,48.175182481751825,22.343876723438765
18,1.1485451761102603,2.7947932618683002,0.0,0.0,0.0,8.88208269525268,0.5742725880551302,14.854517611026033,71.74578866768759
19,4.021628928692126,4.35958093950659,3.2105441027374115,0.43933761405880367,0.0,1.9939168638053395,0.2027712064886786,15.174045285569449,70.5981750591416
20,6.322996375352396,5.557792992347966,0.8860249697946033,0.40273862263391064,0.0,3.4635521546516315,6.604913411196134,13.572291582762789,63.18968989126057
23,6.9676917088361225,4.242896068509148,0.8952899961074349,0.0,0.42818217205138187,0.42818217205138187,0.506033476060724,9.186453873102375,77.34527053328144
25,0.8403361344537815,15.618661257606492,4.143726456099682,0.5215879455230368,0.49261083743842365,0.0,0.6085192697768762,58.157055925818604,19.617502173283103
27,7.248834251801611,1.05977108944468,0.0423908435777872,0.0,0.0,7.376006782534972,12.2509537939805,3.2640949554896146,68.75794828317083
41,2.9313543599257885,4.564007421150278,1.8923933209647494,0.2597402597402597,0.0,0.03710575139146568,0.11131725417439704,41.55844155844156,48.64564007421151
44,11.485042735042734,4.594017094017095,0.05341880341880342,0.0,0.0,6.463675213675215,4.594017094017095,20.61965811965812,52.190170940170944
47,10.10199125789218,9.276347741622146,1.0199125789218066,0.7285089849441476,0.5342399222923749,2.768334142787761,1.7484215638659544,12.676056338028168,61.14618746964546
50,2.6475849731663685,11.05545617173524,3.3989266547406083,0.46511627906976744,0.1073345259391771,6.440071556350627,0.25044722719141327,30.268336314847943,45.36672629695885
52,3.006993006993007,6.328671328671328,2.3776223776223775,0.7342657342657343,0.03496503496503497,4.86013986013986,2.062937062937063,19.615384615384617,60.97902097902098
54,2.7868852459016393,9.344262295081968,3.360655737704918,0.4508196721311476,0.0,0.0,0.20491803278688525,45.0,38.85245901639344
63,0.3989844033369605,17.772941603191875,5.8759521218716,3.5908596300326447,0.9067827348567283,0.0,1.3783097569822271,37.61334784185709,32.462821907870875
66,0.43747721472839957,13.488880787458987,7.291286912139992,3.1717098067808966,1.5676266861100983,0.21873860736419978,0.2916514764855997,40.68538096974116,32.84724753919067
68,0.8291873963515755,12.835820895522387,5.406301824212272,1.7247097844112769,0.5306799336650083,0.03316749585406302,0.03316749585406302,37.64510779436153,40.96185737976783
70,7.227022780832678,2.3959151610369207,0.7069913589945012,0.3534956794972506,0.0,0.6284367635506678,0.4713275726630008,11.626080125687354,76.59073055773763
73,1.2610770279481935,8.997955010224949,2.283571915473756,0.9884117246080437,0.0,0.0,0.5112474437627812,43.62644853442399,42.331288343558285
76,2.5056215868936715,13.780918727915195,2.1201413427561837,2.1201413427561837,0.8994539029874719,2.1522646964343077,0.6424670735624799,38.32316093800193,37.455830388692576
81,4.848484848484849,1.4545454545454546,0.0404040404040404,0.0,0.0,0.1616161616161616,5.898989898989899,19.03030303030303,68.56565656565657
85,2.6327734906945075,7.308216068996823,2.5419881979119383,0.0,0.0,0.04539264639128461,0.2723558783477077,30.91239219246482,56.286881525192925
86,2.565130260521042,1.002004008016032,0.0,0.0,0.0,5.971943887775551,0.9619238476953907,6.653306613226453,82.84569138276552
88,0.4911591355599214,19.842829076620824,4.027504911591356,0.68762278978389,0.0,0.0,0.0,47.54420432220039,27.406679764243613
91,9.596662030598054,18.70653685674548,0.13908205841446453,0.0,0.0,3.8247566063977745,0.06954102920723226,24.26981919332406,43.39360222531293
94,2.4822695035460995,0.07092198581560284,0.07092198581560284,0.0,0.0,18.156028368794328,1.9148936170212765,14.822695035460992,62.48226950354609
95,0.490414623272403,2.4074899687917966,0.0,0.0,0.0,11.234953187695051,3.1654034774855107,15.871600534997771,66.83013820775747
97,0.30143180105501133,0.0,0.07535795026375283,0.0,0.0,33.98643556895252,0.30143180105501133,0.5275056518462697,64.80783722682743
99,3.6414565826330536,1.050420168067227,0.0,0.0,0.0,19.46778711484594,1.1204481792717087,7.773109243697479,66.94677871148458
All,3.6050768855259943,9.065169636319258,2.6702465218452525,0.893336587747132,0.4698559921894069,3.2340737124725414,1.4864535025628507,28.000976324139614,50.574810837197944
