P1_DEPARTAMENTO,No,Si
5,0.23523261892315736,99.76476738107685
8,0.7202426080363912,99.27975739196361
11,2.371541501976284,97.62845849802372
13,1.3907734056987788,98.60922659430122
15,0.5110188438198658,99.48898115618013
17,0.08103727714748785,99.91896272285251
18,1.3967534918837297,98.60324650811627
19,0.5043712172158709,99.49562878278412
20,0.759392486011191,99.2406075139888
23,0.4649360712901976,99.5350639287098
25,0.547550432276657,99.45244956772335
27,3.240360951599672,96.75963904840033
41,0.4432951606944958,99.5567048393055
44,31.4536799707067,68.5463200292933
47,1.8121125417262758,98.18788745827372
50,1.549841493483621,98.45015850651639
52,0.1047851903597625,99.89521480964024
54,0.48939641109298526,99.510603588907
63,0.4693140794223827,99.53068592057762
66,0.9747292418772563,99.02527075812274
68,0.6262359920896506,99.37376400791035
70,0.8566978193146416,99.14330218068535
73,0.47489823609226595,99.52510176390773
76,0.47953964194373405,99.52046035805625
81,1.941362916006339,98.05863708399366
85,2.8231142479047198,97.17688575209527
86,7.763401109057301,92.2365988909427
88,0.19607843137254902,99.80392156862746
91,3.6838580040187545,96.31614199598124
94,18.26086956521739,81.73913043478261
95,2.647569444444444,97.35243055555556
97,8.102493074792244,91.89750692520776
99,38.15504547423127,61.844954525768735
All,3.720066740300331,96.27993325969967
