P4005,conteo,porcentaje
1,64683,76.00286701290156
5,12338,14.49721523746857
3,2303,2.706037177167297
4,2084,2.4487110191995862
2,1398,1.6426573919582639
9,967,1.1362301130355086
6,547,0.6427278922755153
8,536,0.6298028341127535
7,177,0.20797593589171154
10,73,0.08577538598923695
