REGION,0.0,3.0,4.0,5.0,6.0,8.0,9.0,No,Si
1,9.152741131632952,5.822339489885664,1.2840809146877747,0.5570214013485781,0.36352975666959836,1.9935502785107009,2.1049545587804164,13.491644678979773,65.23013778950454
2,1.6304003045105628,12.307301909534987,3.9649812852883333,0.9071877180739707,0.6026771553638266,1.160946520332424,0.22838292203260802,46.48861257374865,32.70950961111463
3,1.0427593015363732,11.371629542790153,3.70827420250509,1.616585426050472,0.6848892453877954,1.4746714382674153,0.48744369716789043,37.81699265749368,41.796754488801135
4,4.597701149425287,4.096356077280508,2.005380288579115,0.4157495720224994,0.012227928588897041,4.5487894350697,4.328686720469553,13.291758376131083,66.70335045243337
5,0.0,31.92090395480226,14.632768361581922,3.2203389830508473,3.1638418079096042,0.0,0.1694915254237288,38.92655367231638,7.966101694915253
6,0.6811632171862719,14.671207754781243,3.9821849620120515,1.7815037987948652,0.8383547288446425,0.07859575582918522,1.8862981399004455,36.23264343725439,39.84804820539691
7,2.5056215868936715,13.780918727915195,2.1201413427561837,2.1201413427561837,0.8994539029874719,2.1522646964343077,0.6424670735624799,38.32316093800193,37.455830388692576
8,0.4911591355599214,19.842829076620824,4.027504911591356,0.68762278978389,0.0,0.0,0.0,47.54420432220039,27.406679764243613
9,3.209268260203742,3.7352686596977165,0.406152207204208,0.0,0.0,9.627804780611225,1.9641787069711698,15.646847326719488,65.41048005859244
All,3.6050768855259943,9.065169636319258,2.6702465218452525,0.893336587747132,0.4698559921894069,3.2340737124725414,1.4864535025628507,28.000976324139614,50.574810837197944
