,CANT_HOG_COMPLETOS,CANT_HOGARES_VIVIENDA,FEX_C
CANT_HOG_COMPLETOS,1.0,1.0,0.012024221650501439
CANT_HOGARES_VIVIENDA,1.0,1.0,0.012024221650501439
FEX_C,0.012024221650501439,0.012024221650501439,1.0
