P8520S4A1,conteo,porcentaje
,29492,34.65325593965173
3.0,26417,31.040114680516062
2.0,21688,25.483514675816043
1.0,6578,7.729184781331516
8.0,247,0.29022630601837707
7.0,223,0.262026179117806
4.0,201,0.2361760627922826
5.0,150,0.1762507931285691
6.0,103,0.12102554461495077
9.0,7,0.008225037012666556
