REGION,conteo,porcentaje
1,18065,21.226470519117335
9,16771,19.706013677061545
3,16312,19.166686250088123
2,15938,18.727234272554227
4,8275,9.723168754259394
6,3826,4.495570230066035
7,3128,3.675416539374427
5,1771,2.080934364204639
8,1020,1.1985053932742697
