P8520S1A1,conteo,porcentaje
1.0,41441,48.693394120273545
2.0,22944,26.95932131694593
3.0,7428,8.727939275726742
,3166,3.720066740300331
0.0,2954,3.470965619345287
8.0,2650,3.113764011938054
4.0,2188,2.570911569102061
9.0,1218,1.431156440203981
5.0,732,0.8601038704674171
6.0,385,0.45237703569666066
