REGION,No,Si
1,54.99584832549128,45.00415167450872
2,46.561676496423644,53.438323503576356
3,40.264835703776356,59.735164296223644
4,61.49848942598187,38.50151057401813
5,0.6211180124223602,99.37888198757764
6,45.269210663878724,54.730789336121276
7,28.03708439897698,71.96291560102301
8,60.49019607843137,39.509803921568626
9,59.88313159620774,40.11686840379226
All,49.69449862524382,50.30550137475619
