P4567,conteo,porcentaje
4,40080,47.09421192395366
3,21882,25.71146570159566
1,15448,18.151481681667565
2,4419,5.192348365567645
6,2503,2.9410382346720563
5,637,0.7484783681526567
7,137,0.16097572439075974
