P4015,conteo,porcentaje
4,38985,45.807581134115104
6,30582,35.93401170305267
7,8710,10.234296054332244
5,5789,6.802105609475243
2,743,0.8730289286301788
1,167,0.19622588301647356
3,130,0.1527506873780932
