P1_MUNICIPIO,conteo,porcentaje
1,27885,32.765022442600994
773,1160,1.363006133527601
430,975,1.1456301553356991
250,632,0.7426033417150377
130,628,0.7379033205649426
615,600,0.7050031725142764
736,593,0.6967781355016097
573,578,0.6791530561887529
65,564,0.6627029821634198
25,519,0.6098277442248491
754,518,0.6086527389373252
524,509,0.5980776913496111
6,503,0.5910276596244682
753,495,0.581627617324278
835,472,0.5546024957112307
400,458,0.5381524216858976
847,458,0.5381524216858976
568,438,0.5146523159354217
594,410,0.48175216788475544
682,406,0.4770521467346603
551,391,0.4594270674218034
520,389,0.45707705684675576
758,384,0.45120203040913687
440,382,0.44885201983408923
794,370,0.4347519563838037
560,362,0.42535191408361334
88,361,0.4241769087960896
318,353,0.4147768664958992
190,344,0.4042018189081851
555,338,0.3971517871830423
498,336,0.39480177660799476
81,329,0.3865767395953282
300,319,0.37482668672009023
170,319,0.37482668672009023
638,312,0.3666016497074237
109,310,0.36425163913237607
873,305,0.3583766126947571
238,304,0.35720160740723333
807,295,0.3466265598195192
320,289,0.33957652809437644
473,284,0.33370150165675744
75,282,0.3313514910817099
380,277,0.3254764646440909
759,277,0.3254764646440909
276,276,0.3243014593565671
162,273,0.32077644349399576
307,273,0.32077644349399576
660,271,0.3184264329189481
200,269,0.31607642234390054
212,269,0.31607642234390054
313,267,0.31372641176885296
470,264,0.3102013959062816
548,263,0.3090263906187578
571,262,0.30785138533123396
433,261,0.30667638004371023
810,258,0.30315136418113886
189,256,0.3008013536060912
15,254,0.29845134303104365
215,252,0.29610133245599607
298,247,0.29022630601837707
670,243,0.2855262848682819
885,242,0.2843512795807581
364,238,0.2796512584306629
378,237,0.2784762531431392
175,236,0.27730124785561533
110,235,0.27612624256809154
572,233,0.27377623199304396
698,232,0.27260122670552017
865,228,0.267901205555425
820,228,0.267901205555425
570,226,0.2655511949803774
693,220,0.25850116325523464
547,220,0.25850116325523464
150,220,0.25850116325523464
356,219,0.25732615796771086
78,218,0.25615115268018707
483,214,0.25145113153009185
272,214,0.25145113153009185
295,210,0.24675111037999672
343,206,0.24205108922990154
90,206,0.24205108922990154
174,202,0.23735106807980635
770,201,0.2361760627922826
756,200,0.23500105750475878
755,198,0.2326510469297112
268,197,0.23147604164218738
137,196,0.2303010363546636
606,195,0.2291260310671398
592,195,0.2291260310671398
708,193,0.2267760204920922
624,190,0.22325100462952083
11,190,0.22325100462952083
45,188,0.22090099405447325
874,188,0.22090099405447325
275,187,0.21972598876694943
244,186,0.21855098347942567
460,185,0.21737597819190185
590,185,0.21737597819190185
